Unnamed: 0,100,300,500,700
"RF		",,,,
RotF,,,,
RotF-SPCA,0.784,0.307,0.319,0.212
SRF,,,,
SRotF,,,,
SRotF-SPCA,0.818,0.448,0.738,0.158
TWRF,,,,
TWRotF,,,,
"TWRotF-SPCA	",0.042,0.231,0.162,0.056
