Unnamed: 0,max depth,max feature,trees,bootstrap size,batch size,iteration
RF,30.0,12.0,700.0,0.9,,
RotF,30.0,12.0,700.0,0.5,,
RotF-SPCA,50.0,,700.0,0.5,5.0,700.0
SRF,50.0,6.0,300.0,0.7,,
SRotF,30.0,,700.0,0.9,,
SRotF-SPCA,40.0,,700.0,0.9,3.0,500.0
TWRF,40.0,6.0,700.0,0.5,,
TWRotF,50.0,,700.0,0.9,,
TWRotF-SPCA,40.0,,500.0,0.9,3.0,500.0
